Statistical profiling result from nobloq.log, (5187 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     90   10.0%      Function: ^writevGeneric node:internal/stream_base_commons:126:23
     90  100.0%        Function: ^Socket._writeGeneric node:net:769:42
     90  100.0%          Function: ^Socket._writev node:net:801:36
     90  100.0%            Function: ^doWrite node:internal/streams/writable:398:17
     89    9.9%      t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
     16   18.0%        LazyCompile: *scanLine /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:803:22
     10   62.5%          LazyCompile: *<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:730:32
      9   90.0%            t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
      1   10.0%            LazyCompile: *compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:569:21
      6   37.5%          Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:730:32
      5   83.3%            t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
      1   16.7%            LazyCompile: *compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:569:21
      8    9.0%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      8  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      5   62.5%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      3   37.5%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      5    5.6%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      4   80.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3   75.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1   25.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1   20.0%          LazyCompile: *Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      5    5.6%        Function: ^exports.escapeRegExpChars /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/utils.js:39:38
      5  100.0%          Function: ^createRegex /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:558:25
      5  100.0%            Function: ^Template /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:507:18
      5    5.6%        Function: ^FastBuffer node:internal/buffer:958:14
      5  100.0%          Function: ^createUnsafeBuffer node:internal/buffer:1059:28
      3   60.0%            Function: ^createPool node:buffer:150:20
      2   40.0%            Function: ^allocate node:buffer:397:18
      4    4.5%        Function: ^header /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:754:29
      2   50.0%          Function: ^send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      2  100.0%            Function: ^done /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:1006:27
      2   50.0%          Function: ^contentType /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:594:32
      2  100.0%            Function: ^send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      3    3.4%        LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2   66.7%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      1   33.3%          LazyCompile: *Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      3    3.4%        Function: ^exports.escapeXML /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/utils.js:94:30
      3  100.0%          Function: ^<anonymous> :1:20
      3  100.0%            Function: ^anonymous /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:684:59
      3    3.4%        Function: ^createRegex /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:558:25
      3  100.0%          Function: ^Template /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:507:18
      3  100.0%            Function: ^compile /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/ejs/lib/ejs.js:379:35
      3    3.4%        Function: ^compileFunction node:vm:308:25
      3  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
      3  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      2    2.2%        LazyCompile: ~isIPv4 node:internal/net:31:16
      2  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1   50.0%            LazyCompile: ~lookupAndConnect node:net:995:26
      1   50.0%            LazyCompile: ~lookup node:dns:97:16
      2    2.2%        Function: ^format /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/content-type/index.js:65:17
      2  100.0%          Function: ^setCharset /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/utils.js:250:41
      2  100.0%            Function: ^send /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/response.js:107:25
      2    2.2%        Function: ^expressInit /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/middleware/init.js:29:30
      1   50.0%          LazyCompile: *next /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:176:16
      1  100.0%            Function: ^query /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/middleware/query.js:39:24
      1   50.0%          Function: ^handle /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/layer.js:86:49
      1  100.0%            Function: ^trim_prefix /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/express/lib/router/index.js:288:23
      2    2.2%        Function: ^checkInvalidHeaderChar node:_http_common:232:32
      2  100.0%          Function: ^<anonymous> node:_http_outgoing:564:45
      2  100.0%            Function: ^setHeader node:_http_outgoing:574:57
      2    2.2%        Function: ^<anonymous> /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/mongoose/lib/helpers/pluralize.js:86:34
      2  100.0%          t std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::push_back(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
      2  100.0%            LazyCompile: ~pluralize /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/mongoose/lib/helpers/pluralize.js:82:19
      1    1.1%        LazyCompile: ~serializeObjectId /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/bson/lib/parser/serializer.js:208:27
      1  100.0%          LazyCompile: ~serializeInto /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/bson/lib/parser/serializer.js:550:23
      1  100.0%            Function: ^serializeObject /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/bson/lib/parser/serializer.js:258:25
      1    1.1%        LazyCompile: ~preferredEncodings /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/negotiator/lib/encoding.js:138:28
      1  100.0%          LazyCompile: ~encodings /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/negotiator/index.js:55:52
      1  100.0%            LazyCompile: ~Accepts.encoding.Accepts.encodings /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/accepts/index.js:127:40
      1    1.1%        LazyCompile: ~populateStatusesMap /Users/cristianmarcos/Dropbox/Web Development/Coder House/Back-end/Desafios/Proyecto Final/node_modules/statuses/index.js:60:30
